Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:27OeeYzk6klgBh83TSvGMA,WITHOUT YOU,F*CK LOVE (SAVAGE),The Kid LAROI,2020-11-06,161384,5,True,31mb5e57eem4nrdh66w2jia2xdui,2026-03-02T19:38:02Z,,Columbia,0.662,0.413,0,-7.357,1,0.0299,0.213,0.0,0.134,0.467,93.005,4
spotify:track:6or1bKJiZ06IlK0vFvY75k,Rap God,The Marshall Mathers LP2 (Deluxe),Eminem,2013-11-05,363521,76,True,31mb5e57eem4nrdh66w2jia2xdui,2026-03-02T19:38:02Z,"rap,hip hop",Eminem Catalog PS,0.709,0.843,7,-2.66,1,0.314,0.395,0.0,0.799,0.625,148.134,4
spotify:track:2DsdZx34mT4jVtnPk1eoFM,NEED YOU MOST (So Sick),F*CK LOVE,The Kid LAROI,2020-07-24,135227,0,True,31mb5e57eem4nrdh66w2jia2xdui,2026-03-02T19:38:02Z,,Columbia,0.63,0.707,5,-3.632,1,0.0508,0.0681,0.0,0.284,0.285,86.849,4
spotify:track:3yfqSUWxFvZELEM4PmlwIR,The Real Slim Shady,The Marshall Mathers LP,Eminem,2000-05-23,284200,86,True,31mb5e57eem4nrdh66w2jia2xdui,2026-03-02T19:38:02Z,"rap,hip hop",Eminem Catalog PS,0.949,0.661,5,-4.244,0,0.0572,0.0302,0.0,0.0454,0.76,104.504,4
spotify:track:2c5Isyd07hWsl7AQia2Dig,Fast Lane,Hell: The Sequel (Deluxe),Bad Meets Evil,2011-01-01,249560,72,True,31mb5e57eem4nrdh66w2jia2xdui,2026-03-02T19:38:02Z,,Shady Records,0.615,0.871,1,-3.804,1,0.281,0.0388,0.0,0.246,0.338,119.149,5
spotify:track:3YKptz29AsOlm7WAVnztBh,Kiss from a Rose,Seal,Seal,1994-05-31,288426,79,False,31mb5e57eem4nrdh66w2jia2xdui,2026-03-02T19:38:02Z,,Warner Records,0.584,0.533,10,-7.11,0,0.0305,0.684,0.0,0.306,0.224,131.745,3
spotify:track:7lozLnUfzcgEpMMVQI7yhA,Why,COSMIC,Bazzi,2018-04-12,148259,69,True,31mb5e57eem4nrdh66w2jia2xdui,2026-03-02T19:38:02Z,,iamcosmic,0.676,0.67,8,-6.584,1,0.0374,0.353,0.0,0.103,0.54,113.01,4
spotify:track:4xkOaSrkexMciUUogZKVTS,Till I Collapse,The Eminem Show,Eminem;Nate Dogg,2002-05-26,297786,86,True,31mb5e57eem4nrdh66w2jia2xdui,2026-03-02T19:38:02Z,"rap,hip hop,g-funk,west coast hip hop,old school hip hop",Eminem Catalog PS,0.548,0.847,1,-3.237,1,0.186,0.0622,0.0,0.0816,0.1,171.447,4
spotify:track:4yyg2J2uXOjCtCyT64984C,Ends of the Earth,Lonesome Dreams,Lord Huron,2012-10-08,284146,2,False,31mb5e57eem4nrdh66w2jia2xdui,2026-03-02T19:38:02Z,,IAMSOUND,0.555,0.584,4,-8.667,1,0.0301,0.274,0.0228,0.254,0.41,120.965,4
spotify:track:3CpoeW0cZSDzIRv5z34F87,Sing For The Moment,The Eminem Show,Eminem,2002-05-26,339546,78,True,31mb5e57eem4nrdh66w2jia2xdui,2026-03-02T19:38:02Z,"rap,hip hop",Eminem Catalog PS,0.668,0.824,5,-4.164,0,0.137,0.0017,3.05e-06,0.0426,0.185,163.961,4
spotify:track:7MJQ9Nfxzh8LPZ9e9u68Fq,Lose Yourself,SHADYXV,Eminem,2014-11-24,320626,71,True,31mb5e57eem4nrdh66w2jia2xdui,2026-03-02T19:38:02Z,"rap,hip hop",Shady Records,0.689,0.735,2,-4.545,1,0.267,0.00922,0.00072,0.365,0.059,171.403,4
spotify:track:7Ie9W94M7OjPoZVV216Xus,Not Afraid,Recovery,Eminem,2010-06-18,248133,81,True,31mb5e57eem4nrdh66w2jia2xdui,2026-03-02T19:38:02Z,"rap,hip hop",Eminem Catalog PS,0.855,0.954,0,-1.19,0,0.264,0.529,0.0,0.205,0.668,114.635,5
spotify:track:68EMU2RD1ECNeOeJ5qAXCV,We Don't Talk Anymore (feat. Selena Gomez),Nine Track Mind,Charlie Puth;Selena Gomez,2015-11-05,217706,54,False,31mb5e57eem4nrdh66w2jia2xdui,2026-03-02T19:38:02Z,soft pop,Artist Partner,0.728,0.563,1,-8.053,0,0.134,0.621,0.0,0.179,0.352,100.017,4
spotify:track:3zjjzKg16tczCMwckGKGuH,Happy Pills,Happy Pills,Weathers,2016-06-03,203080,65,False,31mb5e57eem4nrdh66w2jia2xdui,2026-03-02T19:38:02Z,,RCA Records Label,0.521,0.885,4,-4.934,0,0.125,0.00327,0.00904,0.324,0.344,115.985,4
spotify:track:17weS3aO2oaGYJ9Q9yM56X,I'm Not Ok,Kids In The Night,Weathers,2018-06-22,181173,49,True,31mb5e57eem4nrdh66w2jia2xdui,2026-03-02T19:38:02Z,,RCA Records Label,0.397,0.962,9,-3.386,1,0.0639,0.00628,0.0,0.238,0.542,177.927,4
spotify:track:4poqovyJtmlKMDnSz6QwsE,The Kid I Used to Know,Sobville (Episode I),Arrested Youth,2019-11-01,145801,0,True,31mb5e57eem4nrdh66w2jia2xdui,2026-03-02T19:38:02Z,,Lowly/Big Noise,0.639,0.776,9,-4.61,1,0.0829,0.0731,1.97e-06,0.18,0.267,160.101,4
spotify:track:2tpWsVSb9UEmDRxAl1zhX1,Counting Stars,Native,OneRepublic,2013-01-01,257265,89,False,31mb5e57eem4nrdh66w2jia2xdui,2026-03-02T19:38:02Z,soft pop,Mosley / Interscope,0.663,0.706,1,-4.972,0,0.0383,0.0654,0.0,0.118,0.474,122.013,4
spotify:track:7syEMMetYY9CmyR5aE2ia6,MAYBE,F*CK LOVE (SAVAGE),The Kid LAROI,2020-11-06,174182,0,True,31mb5e57eem4nrdh66w2jia2xdui,2026-03-02T19:38:02Z,,Columbia,0.606,0.533,4,-4.833,0,0.077,0.00556,0.0,0.292,0.156,89.079,4
spotify:track:0OtK6gE4DipBy7u3rUWBvJ,WRONG (feat. Lil Mosey),F*CK LOVE (SAVAGE),The Kid LAROI;Lil Mosey,2020-11-06,183567,0,True,31mb5e57eem4nrdh66w2jia2xdui,2026-03-02T19:38:02Z,melodic rap,Columbia,0.389,0.768,1,-4.765,1,0.256,0.038,0.0,0.119,0.334,90.146,4
spotify:track:0jtsTHyFUH1p5sBC1J77NV,SAME THING,F*CK LOVE,The Kid LAROI,2020-07-24,124589,0,False,31mb5e57eem4nrdh66w2jia2xdui,2026-03-02T19:38:02Z,,Columbia,0.662,0.659,6,-4.642,1,0.155,0.0225,0.0,0.107,0.363,135.95,5
spotify:track:57tln4G33fhp8mrFbeM3IJ,SELFISH,F*CK LOVE,The Kid LAROI,2020-07-24,196202,0,True,31mb5e57eem4nrdh66w2jia2xdui,2026-03-02T19:38:02Z,,Columbia,0.373,0.539,1,-4.865,1,0.086,0.166,0.0,0.139,0.075,77.006,1
spotify:track:0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,After Hours,The Weeknd,2020-03-20,200040,90,False,31mb5e57eem4nrdh66w2jia2xdui,2026-03-02T19:38:02Z,,Republic Records,0.513,0.73,1,-5.94,1,0.0598,0.00143,9.54e-05,0.0897,0.334,171.001,4
spotify:track:0nrRP2bk19rLc0orkWPQk2,Wake Me Up,True,Avicii,2013-09-16,247426,88,False,31mb5e57eem4nrdh66w2jia2xdui,2026-03-02T19:38:02Z,edm,Pophouse Entertainment Group,0.532,0.783,2,-5.697,1,0.0523,0.0038,0.0012,0.161,0.643,124.08,4
spotify:track:1rqqCSm0Qe4I9rUvWncaom,High Hopes,Pray for the Wicked,Panic! At The Disco,2018-06-22,190946,84,False,31mb5e57eem4nrdh66w2jia2xdui,2026-03-02T19:38:02Z,emo,DCD2 / Fueled By Ramen,0.579,0.904,5,-2.729,1,0.0618,0.193,0.0,0.064,0.681,82.014,4
spotify:track:4RPpx2lgTptIUtR50KXfQ0,C'est la vie,C'est la vie,Weathers,2020-06-26,194024,40,False,31mb5e57eem4nrdh66w2jia2xdui,2026-03-02T19:38:02Z,,Bitter Kid Records,0.582,0.792,6,-4.742,0,0.111,0.0244,1.79e-06,0.175,0.627,91.998,4
spotify:track:5d1ix6uxnaiPzQpWjoOtrN,Bet on You,Bet on You,The Man Who,2017-03-29,242280,0,False,31mb5e57eem4nrdh66w2jia2xdui,2026-03-02T19:38:02Z,,HOME Music,0.528,0.679,1,-4.363,1,0.0332,0.00323,6.7e-05,0.132,0.299,157.906,4
spotify:track:2Foc5Q5nqNiosCNqttzHof,Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers],Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers],Daft Punk;Pharrell Williams;Nile Rodgers,2013-04-19,247632,82,False,31mb5e57eem4nrdh66w2jia2xdui,2026-03-02T19:38:02Z,"french house,electronic,electro",Columbia,0.794,0.811,6,-8.966,0,0.038,0.0426,1.07e-06,0.101,0.862,116.047,4
spotify:track:4eDYMhIin1pSLIG96f1aD0,Addicted To You,True,Avicii,2013-09-16,148386,75,False,31mb5e57eem4nrdh66w2jia2xdui,2026-03-02T19:38:02Z,edm,Pophouse Entertainment Group,0.569,0.785,1,-4.057,0,0.0457,0.0505,1.12e-06,0.086,0.303,128.031,4
spotify:track:0laFrj3OZclyARSdmGkvzb,Problems,Problems,Weathers,2019-05-03,202253,0,False,31mb5e57eem4nrdh66w2jia2xdui,2026-03-02T19:38:02Z,,Bitter Kid Records,0.623,0.908,7,-4.163,1,0.0319,0.00212,4.92e-06,0.244,0.955,144.966,4
spotify:track:0c6SqvH32BMgbEFvpHc2gs,Let Her Go,Let Her Go,The Kid LAROI,2019-12-06,122112,58,True,31mb5e57eem4nrdh66w2jia2xdui,2026-03-02T19:38:02Z,,Columbia,0.763,0.542,3,-6.753,0,0.148,0.639,0.0,0.113,0.504,142.031,4
spotify:track:48msdKyfFVzTbiKFQpEUCr,98 Degrees,Nonfiction,Arrested Youth,2021-06-25,167126,0,False,31mb5e57eem4nrdh66w2jia2xdui,2026-03-02T19:38:02Z,,Lowly/Big Noise,0.679,0.804,6,-3.886,1,0.0439,0.0857,5.97e-06,0.19,0.64,80.981,4
spotify:track:5Bx2SRxo3S0h4nBS4owyFh,Leave My Casket Open...,Nonfiction,Arrested Youth,2021-06-25,164331,0,False,31mb5e57eem4nrdh66w2jia2xdui,2026-03-02T19:38:02Z,,Lowly/Big Noise,0.571,0.652,2,-7.541,1,0.0477,0.0851,0.0234,0.0674,0.237,85.004,4
spotify:track:1qPbGZqppFwLwcBC1JQ6Vr,Wonderwall,(What's The Story) Morning Glory?,Oasis,1995-10-02,258906,78,False,31mb5e57eem4nrdh66w2jia2xdui,2026-03-02T19:38:02Z,"britpop,madchester",Big Brother Recordings Ltd,0.41,0.854,2,-5.609,1,0.0366,0.00236,0.0,0.133,0.456,174.584,4
spotify:track:0ct6r3EGTcMLPtrXHDvVjc,The Nights,The Days / Nights,Avicii,2014-01-01,176658,86,False,31mb5e57eem4nrdh66w2jia2xdui,2026-03-02T19:38:02Z,edm,Pophouse Entertainment Group,0.527,0.835,6,-5.298,1,0.0433,0.0166,0.0,0.249,0.654,125.983,4
spotify:track:2z4U9d5OAA4YLNXoCgioxo,What the Hell,Goodbye Lullaby (Expanded Edition),Avril Lavigne,2011-03-08,220706,79,False,31mb5e57eem4nrdh66w2jia2xdui,2026-03-02T19:38:02Z,,Epic,0.578,0.926,6,-3.689,0,0.0548,0.00472,0.0127,0.14,0.877,149.976,4
spotify:track:07cZs4Bn5aMHsQMFZ7MOui,1 Last Cigarette,1 Last Cigarette,The Band CAMINO,2021-02-26,185832,0,False,31mb5e57eem4nrdh66w2jia2xdui,2026-03-02T19:38:02Z,,DBLBLK Records/Elektra,0.578,0.952,0,-3.622,1,0.0567,0.00566,0.000249,0.189,0.686,140.097,4
spotify:track:3nPIBBOzOVEya8ZX3GjKN1,Anything,Anything,With Confidence,2021-07-09,168253,0,False,31mb5e57eem4nrdh66w2jia2xdui,2026-03-02T19:38:02Z,pop punk,Hopeless Records,0.642,0.866,0,-6.629,1,0.0429,0.000725,0.0,0.184,0.547,104.934,4
spotify:track:2FY7b99s15jUprqC0M5NCT,Natural,Origins (Deluxe),Imagine Dragons,2018-11-09,189466,82,False,31mb5e57eem4nrdh66w2jia2xdui,2026-03-02T19:38:02Z,,Kid Ina Korner / Interscope,0.704,0.611,2,-6.112,1,0.041,0.217,0.0,0.0812,0.22,99.994,4
spotify:track:0VeoSHlgashtg5JYPJjl15,Stronger,Pressure,The Score,2019-02-01,190986,57,False,31mb5e57eem4nrdh66w2jia2xdui,2026-03-02T19:38:02Z,,Republic Records,0.267,0.67,2,-4.688,0,0.0807,0.0232,0.0,0.312,0.114,191.883,3
spotify:track:55PZSFcKQxXH5BOOcDA6yI,The Greatest Show,The Greatest Show,Panic! At The Disco,2018-11-02,174306,68,False,31mb5e57eem4nrdh66w2jia2xdui,2026-03-02T19:38:02Z,emo,Atlantic Records,0.546,0.839,6,-5.365,0,0.0784,0.00546,0.0,0.382,0.491,77.009,4
spotify:track:2cppGOIz0cuDnKoGzrDsJQ,The Fear,Pressure,The Score,2019-02-01,183853,61,False,31mb5e57eem4nrdh66w2jia2xdui,2026-03-02T19:38:02Z,,Republic Records,0.498,0.628,7,-5.709,0,0.0317,0.00686,0.0,0.362,0.218,138.099,4
spotify:track:1r1fPuhj9H4VdXr7OK6FL5,CASTLE OF GLASS,LIVING THINGS,Linkin Park,2012-06-19,205400,78,False,31mb5e57eem4nrdh66w2jia2xdui,2026-03-02T19:38:02Z,"nu metal,rap metal,rock,alternative metal",Warner Records,0.615,0.911,1,-3.584,0,0.0278,0.0686,0.00188,0.0908,0.685,108.0,4
spotify:track:6ebkx7Q5tTxrCxKq4GYj0Y,Club Can't Handle Me (feat. David Guetta),Only One Flo (Part 1),Flo Rida;David Guetta,2010-11-24,234560,84,False,31mb5e57eem4nrdh66w2jia2xdui,2026-03-02T19:38:02Z,edm,Poe Boy/Atlantic,0.616,0.869,0,-3.911,1,0.0327,0.0283,0.0,0.064,0.473,127.966,4
spotify:track:1Lxhfhq1F0rkpb8GqoSJ6O,"I Don't Like It, I Love It (feat. Robin Thicke & Verdine White)",My House,Flo Rida;Robin Thicke;Verdine White,2015-04-07,224258,51,False,31mb5e57eem4nrdh66w2jia2xdui,2026-03-02T19:38:02Z,,Poe Boy/Atlantic,0.854,0.766,9,-4.697,0,0.141,0.0242,0.0,0.0793,0.784,118.004,4
spotify:track:0CAfXk7DXMnon4gLudAp7J,Low (feat. T-Pain),Mail on Sunday,Flo Rida;T-Pain,2008-03-17,231400,87,False,31mb5e57eem4nrdh66w2jia2xdui,2026-03-02T19:38:02Z,,Poe Boy/Atlantic,0.918,0.609,10,-5.64,0,0.0791,0.0928,0.0,0.139,0.304,128.008,4
spotify:track:3jomjC6H7YQBRr2CHPtc4y,My House,My House,Flo Rida,2015-04-07,192190,62,False,31mb5e57eem4nrdh66w2jia2xdui,2026-03-02T19:38:02Z,,Poe Boy/Atlantic,0.688,0.702,7,-4.792,0,0.0499,0.0215,0.0,0.128,0.74,94.006,4
spotify:track:0C6TGlpffTuUdJfjB0U9mI,Welcome 2 Hell,Hell: The Sequel (Deluxe),Bad Meets Evil,2011-01-01,177720,58,True,31mb5e57eem4nrdh66w2jia2xdui,2026-03-02T19:38:02Z,,Shady Records,0.797,0.922,1,-2.397,1,0.346,0.167,0.0,0.348,0.83,141.966,4
